,ssn,smooth
1970-01,149.5,140.7649927619471
1970-02,150.1,139.5322418010325
1970-03,150.3,138.31224978785423
1970-04,150.3,137.11169071033214
1970-05,149.8,135.9247691309381
1970-06,149.1,134.67885488943654
1970-07,147.0,133.34457145709987
1970-08,143.0,131.94277442220738
1970-09,137.6,130.4604502570798
1970-10,132.9,128.89720461239347
1970-11,126.5,127.25112065092985
1970-12,119.0,125.5336095442558
1971-01,113.8,123.74667798133456
1971-02,110.1,121.86765337194004
1971-03,105.3,119.88630260071251
1971-04,100.4,117.7660360405367
1971-05,96.5,115.51274397244897
1971-06,94.5,113.20436280138118
1971-07,92.7,110.84066290620815
1971-08,91.5,108.40408326262
1971-09,93.2,105.9332151949316
1971-10,93.8,103.45018719113776
1971-11,94.7,100.9751909349604
1971-12,98.3,98.51823491239755
1972-01,100.3,96.10749762891523
1972-02,100.9,93.77189137922713
1972-03,102.6,91.49483851645064
1972-04,104.0,89.27488144561745
1972-05,103.3,87.07382818349987
1972-06,99.9,84.89941596366255
1972-07,96.6,82.81349273698648
1972-08,92.9,80.7906803773798
1972-09,88.2,78.80156741376969
1972-10,85.9,76.86372485399325
1972-11,83.3,74.97898966705165
1972-12,78.2,73.14401237957593
1973-01,72.3,71.33980432286945
1973-02,66.1,69.58797983327722
1973-03,62.8,67.90704337842766
1973-04,60.8,66.34148155543555
1973-05,57.9,64.89193331004041
1973-06,55.6,63.47747716268351
1973-07,53.4,62.01726651025997
1973-08,51.4,60.53856137373519
1973-09,49.0,59.00199171367424
1973-10,46.6,57.342140468229175
1973-11,45.4,55.58577846553358
1973-12,45.0,53.79575200918649
1974-01,46.8,51.97215594269613
1974-02,49.1,50.07855039185497
1974-03,48.5,48.091259421955236
1974-04,48.3,46.04026855688255
1974-05,49.4,43.95428542904342
1974-06,49.3,41.84469125942323
1974-07,48.6,39.77955373633626
1974-08,47.3,37.76075475465598
1974-09,45.8,35.80864573453911
1974-10,43.2,33.9925223381431
1974-11,39.3,32.25198921779163
1974-12,36.1,30.54444666300697
1975-01,33.0,28.913737333400775
1975-02,31.8,27.394264463635842
1975-03,30.6,26.012324664304696
1975-04,26.8,24.742759446913354
1975-05,24.2,23.631867418759764
1975-06,23.2,22.620870563570804
1975-07,21.8,21.632411520991027
1975-08,20.7,20.772155942695193
1975-09,20.9,20.051425148505583
1975-10,22.3,19.37236559676594
1975-11,23.3,18.774397244547075
1975-12,23.6,18.31646782808422
1976-01,22.1,18.114086756851755
1976-02,19.2,18.202960115809482
1976-03,17.8,18.488673688414686
1976-04,18.4,18.940518145061237
1976-05,18.3,19.53439824289982
1976-06,17.9,20.33647481655332
1976-07,18.8,21.36966505266376
1976-08,20.5,22.591419158389357
1976-09,20.8,24.043548145560568
1976-10,19.7,25.86378475515479
1976-11,19.7,28.141461588380043
1976-12,21.6,30.8855887785164
1977-01,24.3,33.96177307442824
1977-02,26.3,37.299620625968295
1977-03,28.8,41.00161733140444
