,phi,b,mark,ssn_delay,lu_mark,lu_delay,lu_mark_2,lu_delay_2,phi_c,b_c
2011-06-01,0.6626775190120836,0.4215709327890724,-12.0,32.675839864225026,-12.0,32.675839864225026,-12.0,32.675839864225026,0.5899388593904136,0.40340145792580695
2011-07-01,0.6653441332466556,0.4065340333059049,-12.0,35.373683422354205,-12.0,35.373683422354205,-12.0,35.373683422354205,0.60280607255071,0.399798975740623
2011-08-01,0.6687469003941563,0.3933196545167456,-12.0,38.05991613837285,-12.0,38.05991613837285,-12.0,38.05991613837285,0.6156179084523967,0.39621199773533566
2011-09-01,0.6700682726859829,0.390483149194208,-12.0,40.6878450556594,-12.0,40.6878450556594,-12.0,40.6878450556594,0.6281516676642471,0.3927028739094087
2011-10-01,0.6998585178479119,0.3948145761142932,-12.0,43.24970299006772,-12.0,43.24970299006772,-12.0,43.24970299006772,0.6403703050381974,0.38928197593262687
2011-11-01,0.6681155807612366,0.38585349075615416,-12.0,45.73032496381112,-12.0,45.73032496381112,-12.0,45.73032496381112,0.6522014920653671,0.3859695538903408
2011-12-01,0.6518349145343121,0.3733220908385837,-12.0,48.113168272352105,-12.0,48.113168272352105,-12.0,48.113168272352105,0.6635663292466024,0.3827876975728246
2012-01-01,0.661647615368001,0.3881459799769558,-11.0,52.897688813459396,-12.0,50.48223930514805,-12.0,50.48223930514805,0.6748654803330381,0.3796242316389433
2012-02-01,0.678687566878017,0.3979883773339055,-11.0,55.33963959467048,-12.0,52.897688813459396,-12.0,52.897688813459396,0.6863858309507469,0.3763988356382437
2012-03-01,0.7592116804392575,0.4157564423261335,-11.0,57.758768032747724,-12.0,55.33963959467048,-12.0,55.33963959467048,0.698032577899478,0.37313805198016187
2012-04-01,0.7209823946238965,0.3661799877918502,-11.0,60.15388109619311,-12.0,57.758768032747724,-12.0,57.758768032747724,0.709570474965852,0.3699077434340694
2012-05-01,0.6955311400384219,0.36297584605077976,-11.0,62.47615933709569,-12.0,60.15388109619311,-12.0,60.15388109619311,0.720993832053219,0.3667095030777803
2012-06-01,0.7349981517253504,0.3820183075839901,-11.0,64.75226875655366,-12.0,62.47615933709569,-12.0,62.47615933709569,0.7320698075497125,0.3636085204553138
2012-07-01,0.777867567310439,0.3961425762031029,-11.0,67.0437827584506,-12.0,64.75226875655366,-12.0,64.75226875655366,0.7429255834482353,0.3605691879445685
