,0,1
2006-08-01,2453948.5,1192.5666666666666
2006-09-01,2453980.5,1230.622
2006-10-01,2454010.5,1284.43
2006-11-01,2454040.5,1333.936
2006-12-01,2454070.5,1358.6
2007-01-01,2454102.5,1337.15
2007-02-01,2454132.5,1387.7385714285715
2007-03-01,2454160.5,1426.3546666666666
2007-04-01,2454192.5,1518.1539999999998
2007-05-01,2454222.5,1571.9614285714285
2007-06-01,2454252.5,1618.602
2007-07-01,2454282.5,1661.81
2007-08-01,2454314.5,1675.5785714285714
2007-09-01,2454344.5,1711.7771428571427
2007-10-01,2454374.5,1739.915
2007-11-01,2454406.5,1789.7414285714285
2007-12-01,2454436.5,1774.820666666667
2008-01-01,2454466.5,1779.8
2008-02-01,2454498.5,1794.007142857143
2008-03-01,2454526.5,1761.677333333333
2008-04-01,2454558.5,1750.982857142857
2008-05-01,2454588.5,1742.3100000000004
2008-06-01,2454618.5,1779.0750000000005
2008-07-01,2454648.5,1798.93
2008-08-01,2454680.5,1891.9
2008-09-01,2454710.5,1904.64
2008-10-01,2454740.5,1931.8
2008-11-01,2454772.5,2022.2485714285722
2008-12-01,2454802.5,2045.22
2009-01-01,2454832.5,2111.953333333333
2009-02-01,2454864.5,2141.9
2009-03-01,2454892.5,2279.846
2009-04-01,2454922.5,2355.3614285714284
2009-05-01,2454952.5,2380.5006666666663
2009-06-01,2454984.5,2435.2057142857143
2009-07-01,2455014.5,2459.8266666666664
2009-08-01,2455044.5,2473.758125
2009-09-01,2455076.5,2552.2214285714285
2009-10-01,2455106.5,2537.633333333333
2009-11-01,2455136.5,2603.697142857143
2009-12-01,2455166.5,2676.9986666666664
2010-01-01,2455198.5,2577.287857142857
2010-02-01,2455228.5,2441.607857142857
2010-03-01,2455256.5,2383.34
2010-10-01,2455470.5,1886.91
2010-11-01,2455502.5,1862.896
2010-12-01,2455532.5,1770.650666666667
2011-01-01,2455562.5,1737.0750000000005
2011-02-01,2455594.5,1671.355
2011-03-01,2455622.5,1593.9399999999996
2011-04-01,2455652.5,1437.494
2011-05-01,2455682.5,1362.6149999999998
2011-06-01,2455714.5,1249.1660000000002
2011-07-01,2455744.5,1180.1464285714285
2011-08-01,2455774.5,1209.95
2011-09-01,2455806.5,1209.95
2011-10-01,2455836.5,1109.18
2011-11-01,2455866.5,1136.5080000000005
2011-12-01,2455896.5,1182.22125
2012-01-01,2455928.5,1255.876
2012-02-01,2455958.5,1179.724
2012-03-01,2455988.5,1154.78
2012-04-01,2456018.5,947.1260000000001
2012-05-01,2456048.5,1012.69
2012-06-01,2456080.5,1012.69
2012-08-01,2456140.5,744.302
2012-09-01,2456172.5,733.3053333333335
2012-10-01,2456202.5,707.2006
2012-11-01,2456232.5,708.1512
2012-12-01,2456262.5,715.0731874999999
2013-01-01,2456294.5,739.797
2013-02-01,2456324.5,764.4947142857143
2013-03-01,2456352.5,747.209
2013-06-01,2456444.5,537.207
2013-07-01,2456474.5,530.13075
2013-08-01,2456506.5,520.7682666666667
2013-09-01,2456536.5,477.3755333333333
2013-10-01,2456566.5,443.48900000000003
2013-11-01,2456598.5,494.473
2013-12-01,2456628.5,494.473
2014-01-01,2456658.5,411.836
