,0,1
0.0885,255.974,55.14521
0.1,301.664,67.84953
0.1075,332.036,96.46975
0.115,364.576,75.76819
0.125,341.964,69.6198
0.14,410.16,62.67228000000001
0.155,428.001,80.68814
0.165,369.757,72.43327
0.18,403.342,60.0001
0.19995,405.932,60.0092
0.215,358.824,56.650130000000004
0.23,477.164,57.15444
0.25,503.426,59.25201
0.275,443.489,48.841429999999995
0.3,506.871,58.52573
0.325,502.605,53.61813000000001
0.35,543.72,61.5422
0.375,560.09,58.634319999999995
0.41,535.072,53.77335
0.445,556.034,57.959880000000005
0.48,576.844,57.34239
0.52,573.243,56.932559999999995
0.56,579.755,57.63703
0.6,586.688,58.293659999999996
0.645,580.253,56.08786
0.695,583.94,56.24589
0.745,585.719,56.45436
0.8,567.572,53.808519999999994
0.86,549.82,52.22274
0.925,581.371,54.26118
0.99,565.957,52.058240000000005
1.055,516.947,47.26017
1.13,510.799,46.30983
1.21,490.233,44.660959999999996
1.295,505.324,45.39447
1.38,457.192,41.80734
1.47,423.891,38.25858
1.57,405.246,36.83396
1.67,402.137,36.619240000000005
1.775,394.738,35.74989
1.89,367.494,33.25589
2.01,340.748,31.03955
2.135,321.057,28.92667
2.265,286.876,26.02519
2.405,266.194,24.03828
2.55,263.862,23.94189
2.7,244.443,22.1153
2.86,221.229,20.12831
3.03,217.236,19.67376
3.21,192.057,17.52695
3.395,176.143,16.0969
3.59,158.64,14.570620000000002
3.905,145.526,12.77176
4.355,116.499,10.30838
4.85,96.67,8.58261
5.395,81.338,7.2545020000000005
5.99,62.589,5.639304
6.645,54.281,4.907072
7.365,42.848,3.9175800000000005
8.155,31.402,2.914671
9.025,28.156,2.573615
9.98,20.293,1.883786
11.025,16.492,1.5480770000000001
12.17,14.257,1.344114
13.43,11.457,1.092765
14.815,7.969,0.7824608000000001
16.33,6.166,0.6173154000000001
17.99,5.176,0.5213552
19.81,3.625,0.3784978
21.805,3.093,0.31971859999999996
24.0,2.336,0.2498641
26.405,1.788,0.1969086
29.04,1.327,0.1520777
31.93,1.17,0.1337462
35.095,0.855,0.10202510000000001
38.57,0.613,0.07821841
42.38,0.457,0.06057665
46.555,0.381,0.0521047
