,r_av,l_av,r_smooth,l_smooth,r_log,l_log,f_smooth,A
1976-06-01,6.63,14.726666666666667,8.144514285714285,19.441877380952377,2.0973446068460655,2.9674293674636703,5.3659674536796125,1.0
1976-07-01,6.434375,17.1359375,8.056514285714284,19.21687738095238,2.0864809922210377,2.955788923170833,5.270551884701218,1.0
1976-08-01,5.446666666666667,16.713333333333335,7.914701785714284,18.807252380952377,2.0687220155182207,2.934242560392013,5.184629925098562,1.0
1976-09-01,5.665,14.186666666666667,7.980035119047617,18.700719047619046,2.0769428123351936,2.9285619748656257,5.11894181982198,1.0
1976-10-01,7.54375,15.7140625,8.249035119047619,18.913852380952378,2.1100962382398336,2.9398945838125394,5.067637971175304,1.0
1976-11-01,7.246666666666666,14.139999999999999,8.501477976190474,19.46194285714286,2.140240027932794,2.9684609102708777,5.028768513259817,1.0
1976-12-01,7.371666666666667,16.84,8.873915476190476,20.199630357142855,2.1831161280286056,3.005664305088384,5.007192128314954,1.0
1977-01-01,6.7546875,17.3421875,9.419715476190474,21.261363690476188,2.2428048839060506,3.056891514340995,5.0,1.0
1977-02-01,6.933928571428572,17.06607142857143,10.419420238095235,22.901549404761905,2.343671395439026,3.1312045678679765,5.0827167367347865,1.0
1977-03-01,5.59,17.566666666666666,11.474545238095237,24.471486904761903,2.4401311244942114,3.1975086400041635,5.290801027583234,1.0
1977-04-01,10.725,25.383333333333336,12.369945238095239,25.888020238095237,2.5152697594014883,3.2537803226316178,5.654302312062277,1.0
1977-05-01,13.8546875,30.671875,13.34987857142857,27.249486904761902,2.591507289031751,3.3050346917489324,6.163204110332936,1.0
1977-06-01,14.925,32.9,14.086036904761903,28.354516071428566,2.6451840162801656,3.344786314539487,6.8662963725786215,1.0
1977-07-01,12.725000000000001,27.275,14.899149404761902,29.590824404761896,2.7013041243931615,3.387464326948711,7.675692566018624,1.0
1977-08-01,10.309375,20.43125,15.78504107142857,30.885320238095233,2.759062723934259,3.430280997819872,8.630489273250243,1.0
1977-09-01,12.358333333333334,22.72,17.171974404761905,32.826586904761896,2.8432786598395348,3.4912387634151862,9.80920277172095,1.0
1977-10-01,12.315,22.895000000000003,18.898374404761903,34.921432738095234,2.939075908036438,3.553100759284804,11.06449387412191,1.0
1977-11-01,13.245,30.768333333333334,20.392491071428566,36.78167023809524,3.0151667483564633,3.6049996297300715,12.465185490314486,1.0
1977-12-01,16.065625,35.784375,21.9006244047619,38.80307023809523,3.08651514804897,3.6584993733464417,14.011277620298683,0.999
1978-01-01,21.016666666666666,43.38333333333334,23.490632738095236,40.781345238095234,3.156601734795705,3.7082247522946066,15.82070623637214,0.999
1978-02-01,32.239285714285714,55.14464285714286,25.560516666666665,43.04387202380951,3.241048843180884,3.762219875185541,17.667292761525676,0.999
1978-03-01,33.921875,54.9625,27.52515952380952,45.20289583333332,3.3151004781890254,3.8111611518951203,19.52195709300097,0.998
1978-04-01,28.05,49.6,29.93075952380952,47.48562916666665,3.3988866982151786,3.8604271214053196,21.7966673532076,0.998
1978-05-01,29.945,50.75,32.13882202380952,49.435358333333326,3.4700647082316363,3.900665923898396,24.079455419735982,0.997
1978-06-01,24.838333333333335,44.76166666666666,34.14796785714285,51.19514999999999,3.5307030778668054,3.935644800996118,26.507644000055986,0.995
1978-07-01,26.957812500000003,45.634375,36.30350119047618,52.851016666666666,3.591914188147925,3.9674769489650275,29.081233094167608,0.994
1978-08-01,28.581666666666663,49.498333333333335,38.41106369047619,54.72576666666666,3.6483455350354506,4.00233465275194,31.986658471976984,0.991
1978-09-01,40.120000000000005,65.24499999999999,40.73668869047618,56.820516666666656,3.7071291284201324,4.039897469427056,34.86074196125794,0.987
1978-10-01,48.825,66.5578125,43.170888690476175,58.87631666666666,3.7651663951900196,4.075438915851556,37.880225964330535,0.983
1978-11-01,44.89666666666667,62.220000000000006,45.518888690476174,60.66905,3.8181273758661947,4.105433683351308,41.26127257836493,0.975
1978-12-01,44.949999999999996,64.675,47.77665119047619,62.29081666666667,3.8665370513391633,4.1318140098987906,44.58125097660685,0.966
1979-01-01,47.121875,66.296875,49.93582619047618,63.82810833333332,3.910738704876663,4.156193662816486,48.046629888640396,0.952
1979-02-01,58.50178571428572,73.90535714285716,51.76495952380952,65.052375,3.9467134632958065,4.17519271466866,51.903297738899816,0.933
1979-03-01,56.050000000000004,71.04166666666667,53.170721428571426,65.82712261904761,3.9735078957629497,4.1870319512589385,55.413589254082325,0.909
1979-04-01,65.73,74.63499999999999,54.089046428571415,66.53322261904762,3.9906316963800244,4.197701411165499,59.31516970749072,0.875
1979-05-01,65.92656249999999,74.1265625,54.742171428571424,67.07722261904762,4.0026343708669065,4.2058445320884115,63.36215067469072,0.83
1979-06-01,64.08333333333334,74.66666666666667,54.86423809523808,67.13315595238096,4.004861735446458,4.206678049394108,67.83919405046103,0.766
1979-07-01,68.81333333333333,74.29666666666668,55.57097142857142,67.63215595238096,4.017660968308218,4.214083549718111,70.0,0.688
1979-08-01,65.4140625,74.14375,56.39159642857142,68.49928095238094,4.032320147909071,4.226823248167552,70.0,0.59
1979-09-01,68.44999999999999,72.80000000000001,56.96932976190476,69.08854761904762,4.042513048668048,4.235388980699889,70.0,0.462
1979-10-01,73.21333333333332,74.11500000000001,57.17592976190476,69.10174761904761,4.04613300146276,4.23558002161224,70.0,0.322
1979-11-01,71.01500000000001,67.71333333333332,57.114929761904754,69.11576845238095,4.045065549418976,4.235782902314772,70.0,0.165
1979-12-01,69.6890625,71.3125,57.004813095238084,69.06421845238094,4.043135704537006,4.235036773970918,70.0,0.0
1980-01-01,70.045,74.21666666666667,56.772613095238086,68.83095178571428,4.039054045632524,4.231653524379671,70.0,-0.176
1980-02-01,66.74499999999999,73.99,56.780595238095216,68.64379107142858,4.039194634225086,4.228930684881625,70.0,-0.331
1980-03-01,67.38333333333333,74.51333333333334,56.43133630952381,68.05826428571427,4.033024612535747,4.220364166039865,70.0,-0.471
1980-04-01,56.88,72.61500000000001,56.35886964285713,67.81706428571428,4.0317396308119156,4.216813848908839,70.0,-0.59
1980-05-01,44.378125,63.2,55.615669642857135,67.34833095238095,4.018464989659397,4.20987812084746,69.29632341619721,-0.688
1980-06-01,32.99666666666667,52.14833333333333,54.68567380952381,66.88166845238094,4.001601770362989,4.202924915420732,67.67759815987986,-0.771
1980-07-01,42.50666666666667,57.236666666666665,53.79990297619047,66.49431428571428,3.9852716637495784,4.197116444543578,66.17878594234597,-0.83
1980-08-01,47.4734375,67.3125,52.41123630952381,65.82198095238094,3.959121001727303,4.186953839573712,64.69811183151884,-0.875
1980-09-01,43.025000000000006,64.22999999999999,51.124473809523806,65.09283095238095,3.934263322075747,4.175814419531132,63.13871833758445,-0.911
1980-10-01,45.285000000000004,65.575,49.742911309523805,64.25876845238095,3.9068679672117455,4.1629181884306234,61.6955296472846,-0.935
1980-11-01,47.3,66.90833333333333,47.9471113095238,63.218301785714274,3.8700985557091645,4.146593844448104,60.27047906369146,-0.953
1980-12-01,42.14375,60.931250000000006,46.22277797619047,62.41423511904761,3.8334727063761136,4.13379337626621,58.86356658680511,-0.966
1981-01-01,39.145,58.843333333333334,44.66602797619047,61.539297619047616,3.7992132121400575,4.119675956423621,57.382852169074184,-0.976
1981-02-01,47.32142857142857,61.61785714285713,43.3182994047619,60.3287738095238,3.7685751647777863,4.099809167524155,56.01342511271507,-0.983
1981-03-01,49.7703125,59.2671875,41.9694994047619,59.09810714285713,3.7369431498205166,4.079198895859501,54.75165779638644,-0.987
1981-04-01,54.23833333333334,65.01166666666667,40.866566071428565,58.21797380952381,3.7103122732835465,4.064194135402069,53.32898532011709,-0.991
1981-05-01,47.15,62.91666666666667,40.31299107142857,57.5641863095238,3.6966737760986286,4.052900608865885,52.0139725838782,-0.994
1981-06-01,42.67666666666667,62.459999999999994,40.43253273809523,57.3537863095238,3.699634726708995,4.049238862486298,50.717097954346066,-0.995
1981-07-01,41.9390625,64.9828125,41.038599404761904,57.650319642857134,3.7145130727158744,4.054395791241885,49.43836143152068,-0.997
1981-08-01,34.09666666666667,57.48833333333334,41.290145238095235,57.79547797619047,3.720623857404412,4.056910536911712,48.09436803145481,-0.998
1981-09-01,33.245000000000005,55.915000000000006,41.25600773809523,57.54957797619046,3.719796744311546,4.052646801973157,46.85311692915668,-0.998
1981-10-01,33.9109375,51.9484375,40.90134107142857,57.111711309523805,3.711162851543691,4.045009197374451,45.63000393356532,-0.999
1981-11-01,28.318333333333328,48.10333333333333,40.18414107142857,56.35717797619047,3.6934724170783664,4.03170961438209,44.34534229588239,-0.999
1981-12-01,27.906666666666666,47.611666666666665,39.287766071428564,55.481219642857134,3.6709131745201886,4.016044578673944,43.159714720818265,-0.999
1982-01-01,30.770312500000003,49.4390625,38.7593494047619,54.956302976190464,3.657372001658831,4.006538378114968,41.992225252460905,-1.0
1982-02-01,36.35178571428571,43.95357142857143,38.40804940476189,54.457141071428566,3.6482670575421707,3.9974139899335475,40.76689537716092,-1.0
1982-03-01,33.025,43.223333333333336,37.621317261904764,53.71361428571428,3.6275708381962066,3.9836664942564552,39.711660635866394,-1.0
1982-04-01,39.81,52.51,36.89450476190476,53.153926785714276,3.6080626175148285,3.9731919832576392,38.598585487629265,-1.0
1982-05-01,43.040625,56.2703125,35.98617142857142,52.52526011904761,3.583134737676314,3.961294199009094,37.50364844609887,-1.0
1982-06-01,47.36666666666667,57.940000000000005,35.10490476190476,51.74439345238094,3.5583408575159456,3.9463160871919496,36.355707826080994,-1.0
